step,susceptible_mean,susceptible_std,exposed_mean,exposed_std,infectious_mean,infectious_std,recovered_mean,recovered_std
0,48599,0.0,0,0.0,1,0.0,0,0.0
1,48587,0.0,10,0.0,3,0.0,0,0.0
2,48567,0.0,27,0.0,6,0.0,0,0.0
3,48532,0.0,50,0.0,18,0.0,0,0.0
4,48475,0.0,93,0.0,32,0.0,0,0.0
5,48418,0.0,121,0.0,61,0.0,0,0.0
6,48320,0.0,183,0.0,97,0.0,0,0.0
7,48228,0.0,222,0.0,150,0.0,0,0.0
8,48104,0.0,283,0.0,213,0.0,0,0.0
9,47971,0.0,342,0.0,287,0.0,0,0.0
10,47812,0.0,419,0.0,369,0.0,0,0.0
11,47632,0.0,504,0.0,463,0.0,1,0.0
12,47487,0.0,536,0.0,574,0.0,3,0.0
13,47317,0.0,595,0.0,682,0.0,6,0.0
14,47136,0.0,633,0.0,813,0.0,18,0.0
15,46924,0.0,698,0.0,946,0.0,32,0.0
16,46715,0.0,762,0.0,1062,0.0,61,0.0
17,46557,0.0,757,0.0,1189,0.0,97,0.0
18,46385,0.0,762,0.0,1303,0.0,150,0.0
19,46211,0.0,777,0.0,1399,0.0,213,0.0
20,45993,0.0,807,0.0,1513,0.0,287,0.0
21,45752,0.0,866,0.0,1613,0.0,369,0.0
22,45547,0.0,895,0.0,1694,0.0,464,0.0
23,45308,0.0,943,0.0,1772,0.0,577,0.0
24,45106,0.0,924,0.0,1882,0.0,688,0.0
25,44869,0.0,965,0.0,1935,0.0,831,0.0
26,44669,0.0,954,0.0,1999,0.0,978,0.0
27,44450,0.0,936,0.0,2091,0.0,1123,0.0
28,44211,0.0,991,0.0,2112,0.0,1286,0.0
29,44033,0.0,949,0.0,2165,0.0,1453,0.0
30,43830,0.0,949,0.0,2209,0.0,1612,0.0
31,43626,0.0,941,0.0,2233,0.0,1800,0.0
32,43400,0.0,950,0.0,2268,0.0,1982,0.0
33,43197,0.0,926,0.0,2319,0.0,2158,0.0
34,42960,0.0,938,0.0,2353,0.0,2349,0.0
35,42745,0.0,952,0.0,2333,0.0,2570,0.0
36,42514,0.0,974,0.0,2346,0.0,2766,0.0
37,42309,0.0,980,0.0,2334,0.0,2977,0.0
38,42105,0.0,980,0.0,2301,0.0,3214,0.0
39,41881,0.0,977,0.0,2344,0.0,3398,0.0
40,41618,0.0,1029,0.0,2335,0.0,3618,0.0
41,41383,0.0,1011,0.0,2385,0.0,3821,0.0
42,41063,0.0,1108,0.0,2396,0.0,4033,0.0
43,40803,0.0,1146,0.0,2401,0.0,4250,0.0
44,40531,0.0,1189,0.0,2403,0.0,4477,0.0
45,40244,0.0,1188,0.0,2466,0.0,4702,0.0
46,39949,0.0,1210,0.0,2538,0.0,4903,0.0
47,39699,0.0,1190,0.0,2599,0.0,5112,0.0
48,39459,0.0,1132,0.0,2698,0.0,5311,0.0
49,39256,0.0,1063,0.0,2766,0.0,5515,0.0
50,39099,0.0,998,0.0,2761,0.0,5742,0.0
51,38989,0.0,922,0.0,2736,0.0,5953,0.0
52,38900,0.0,824,0.0,2670,0.0,6206,0.0
53,38831,0.0,747,0.0,2593,0.0,6429,0.0
54,38741,0.0,689,0.0,2519,0.0,6651,0.0
55,38640,0.0,622,0.0,2458,0.0,6880,0.0
56,38503,0.0,637,0.0,2292,0.0,7168,0.0
57,38365,0.0,623,0.0,2171,0.0,7441,0.0
58,38156,0.0,686,0.0,2047,0.0,7711,0.0
59,37886,0.0,799,0.0,1906,0.0,8009,0.0
60,37587,0.0,908,0.0,1824,0.0,8281,0.0
61,37248,0.0,1018,0.0,1831,0.0,8503,0.0
62,36831,0.0,1188,0.0,1892,0.0,8689,0.0
63,36429,0.0,1349,0.0,1946,0.0,8876,0.0
64,36034,0.0,1441,0.0,2103,0.0,9022,0.0
65,35573,0.0,1554,0.0,2303,0.0,9170,0.0
66,35138,0.0,1643,0.0,2481,0.0,9338,0.0
67,34700,0.0,1693,0.0,2747,0.0,9460,0.0
68,34293,0.0,1731,0.0,2964,0.0,9612,0.0
