run_id,step,time_of_day,susceptible,exposed,infectious,recovered,population,infected_ratio,map_name
1,0,5.0,48599,0,1,0,48600,2.1e-05,Campus Hub
1,1,5.1,48587,10,3,0,48600,6.2e-05,Campus Hub
1,2,5.2,48567,27,6,0,48600,0.000123,Campus Hub
1,3,5.3,48532,50,18,0,48600,0.00037,Campus Hub
1,4,5.4,48475,93,32,0,48600,0.000658,Campus Hub
1,5,5.5,48418,121,61,0,48600,0.001255,Campus Hub
1,6,5.6,48320,183,97,0,48600,0.001996,Campus Hub
1,7,5.7,48228,222,150,0,48600,0.003086,Campus Hub
1,8,5.8,48104,283,213,0,48600,0.004383,Campus Hub
1,9,5.9,47971,342,287,0,48600,0.005905,Campus Hub
1,10,6.0,47812,419,369,0,48600,0.007593,Campus Hub
1,11,6.1,47632,504,463,1,48600,0.009527,Campus Hub
1,12,6.2,47487,536,574,3,48600,0.011811,Campus Hub
1,13,6.3,47317,595,682,6,48600,0.014033,Campus Hub
1,14,6.4,47136,633,813,18,48600,0.016728,Campus Hub
1,15,6.5,46924,698,946,32,48600,0.019465,Campus Hub
1,16,6.6,46715,762,1062,61,48600,0.021852,Campus Hub
1,17,6.7,46557,757,1189,97,48600,0.024465,Campus Hub
1,18,6.8,46385,762,1303,150,48600,0.026811,Campus Hub
1,19,6.9,46211,777,1399,213,48600,0.028786,Campus Hub
1,20,7.0,45993,807,1513,287,48600,0.031132,Campus Hub
1,21,7.1,45752,866,1613,369,48600,0.033189,Campus Hub
1,22,7.2,45547,895,1694,464,48600,0.034856,Campus Hub
1,23,7.3,45308,943,1772,577,48600,0.036461,Campus Hub
1,24,7.4,45106,924,1882,688,48600,0.038724,Campus Hub
1,25,7.5,44869,965,1935,831,48600,0.039815,Campus Hub
1,26,7.6,44669,954,1999,978,48600,0.041132,Campus Hub
1,27,7.7,44450,936,2091,1123,48600,0.043025,Campus Hub
1,28,7.8,44211,991,2112,1286,48600,0.043457,Campus Hub
1,29,7.9,44033,949,2165,1453,48600,0.044547,Campus Hub
1,30,8.0,43830,949,2209,1612,48600,0.045453,Campus Hub
1,31,8.1,43626,941,2233,1800,48600,0.045947,Campus Hub
1,32,8.2,43400,950,2268,1982,48600,0.046667,Campus Hub
1,33,8.3,43197,926,2319,2158,48600,0.047716,Campus Hub
1,34,8.4,42960,938,2353,2349,48600,0.048416,Campus Hub
1,35,8.5,42745,952,2333,2570,48600,0.048004,Campus Hub
1,36,8.6,42514,974,2346,2766,48600,0.048272,Campus Hub
1,37,8.7,42309,980,2334,2977,48600,0.048025,Campus Hub
1,38,8.8,42105,980,2301,3214,48600,0.047346,Campus Hub
1,39,8.9,41881,977,2344,3398,48600,0.04823,Campus Hub
1,40,9.0,41618,1029,2335,3618,48600,0.048045,Campus Hub
1,41,9.1,41383,1011,2385,3821,48600,0.049074,Campus Hub
1,42,9.2,41063,1108,2396,4033,48600,0.0493,Campus Hub
1,43,9.3,40803,1146,2401,4250,48600,0.049403,Campus Hub
1,44,9.4,40531,1189,2403,4477,48600,0.049444,Campus Hub
1,45,9.5,40244,1188,2466,4702,48600,0.050741,Campus Hub
1,46,9.6,39949,1210,2538,4903,48600,0.052222,Campus Hub
1,47,9.7,39699,1190,2599,5112,48600,0.053477,Campus Hub
1,48,9.8,39459,1132,2698,5311,48600,0.055514,Campus Hub
1,49,9.9,39256,1063,2766,5515,48600,0.056914,Campus Hub
1,50,10.0,39099,998,2761,5742,48600,0.056811,Campus Hub
1,51,10.1,38989,922,2736,5953,48600,0.056296,Campus Hub
1,52,10.2,38900,824,2670,6206,48600,0.054938,Campus Hub
1,53,10.3,38831,747,2593,6429,48600,0.053354,Campus Hub
1,54,10.4,38741,689,2519,6651,48600,0.051831,Campus Hub
1,55,10.5,38640,622,2458,6880,48600,0.050576,Campus Hub
1,56,10.6,38503,637,2292,7168,48600,0.04716,Campus Hub
1,57,10.7,38365,623,2171,7441,48600,0.044671,Campus Hub
1,58,10.8,38156,686,2047,7711,48600,0.042119,Campus Hub
1,59,10.9,37886,799,1906,8009,48600,0.039218,Campus Hub
1,60,11.0,37587,908,1824,8281,48600,0.037531,Campus Hub
1,61,11.1,37248,1018,1831,8503,48600,0.037675,Campus Hub
1,62,11.2,36831,1188,1892,8689,48600,0.03893,Campus Hub
1,63,11.3,36429,1349,1946,8876,48600,0.040041,Campus Hub
1,64,11.4,36034,1441,2103,9022,48600,0.043272,Campus Hub
1,65,11.5,35573,1554,2303,9170,48600,0.047387,Campus Hub
1,66,11.6,35138,1643,2481,9338,48600,0.051049,Campus Hub
1,67,11.7,34700,1693,2747,9460,48600,0.056523,Campus Hub
1,68,11.8,34293,1731,2964,9612,48600,0.060988,Campus Hub
